,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
3112,Daniel Bedingfield,0.837,0.765,7,-5.007,0,0.0631,0.0852,7.08e-05,0.1,0.912,133.57,161200,4,34.58518,10,1
11739,Shatta Wale,0.705,0.561,9,-7.029,1,0.271,0.197,0.0,0.068,0.155,147.6,243561,4,25.62378,14,0
4101,T-Pain Featuring Mike Jones,0.731,0.368,8,-10.38,1,0.0688,0.00544,0.0,0.193,0.512,145.171,265333,4,26.28335,11,1
3417,K. S. Chithra,0.739,0.575,5,-12.586,1,0.078,0.445,4.26e-06,0.361,0.751,112.081,422067,4,52.73578,13,0
4889,Impaled Nazarene,0.109,0.991,5,-4.057,1,0.0897,2.42e-06,0.734,0.204,0.449,179.476,114933,4,33.08722,8,0
2504,Job For A Cowboy,0.2,0.974,7,-4.229,1,0.291,1.84e-05,0.161,0.36,0.215,80.123,247520,4,19.69888,10,0
11200,Jeezy,0.764,0.619,1,-5.84,0,0.109,0.00109,0.0,0.105,0.351,140.076,265760,4,44.65703,11,0
962,Explosions In The Sky,0.328,0.479,4,-13.336,1,0.0313,0.0185,0.682,0.268,0.0569,119.596,574000,4,36.97853,22,0
12008,Julee Cruise,0.192,0.138,5,-17.135,1,0.0315,0.892,0.553,0.114,0.0757,142.187,321853,4,60.94077,17,0
12064,The Electric Swing Circus,0.485,0.631,11,-9.476,0,0.058,0.063,0.000361,0.221,0.17,129.964,328806,4,34.19802,14,0
2387,Kronos Quartet,0.566,0.398,2,-9.616,0,0.0351,0.844,0.00889,0.0931,0.498,153.794,307897,4,31.34999,15,0
5179,Miri Ben-Ari,0.6,0.576,0,-4.036,1,0.145,0.156,1.6e-06,0.249,0.416,90.739,284560,4,35.90856,11,0
4989,St. Lunatics,0.846,0.58,10,-6.533,0,0.0432,0.0346,4.53e-05,0.285,0.271,94.945,275389,4,61.53176,12,1
6361,Ran Slavin,0.381,0.369,7,-14.519,1,0.322,0.224,0.82,0.0986,0.365,69.726,589680,3,17.17215,28,0
523,Mudvayne,0.546,0.971,5,-2.661,0,0.0965,0.000823,2.11e-05,0.275,0.383,100.078,216427,4,77.54385,5,1
739,Busta Rhymes,0.641,0.615,1,-7.475,1,0.389,0.0367,0.0,0.105,0.411,68.938,240147,3,38.38141,12,1
12026,Cerebral Fix,0.253,0.585,4,-10.015,1,0.0402,2.93e-06,0.626,0.109,0.463,125.914,315840,4,47.64878,15,0
7320,The Gates Of Slumber,0.303,0.76,1,-6.798,0,0.044,0.000531,0.37,0.109,0.073,131.701,730893,4,36.59583,23,0
5830,Dixie Chicks,0.571,0.438,2,-7.007,1,0.0279,0.534,1.56e-05,0.187,0.444,145.948,230549,4,36.59481,9,1
10982,Hard Excess,0.311,0.769,1,-10.064,1,0.0601,3.49e-05,0.0185,0.708,0.14,117.651,461197,4,36.29186,13,0
274,The American Dollar,0.422,0.0689,9,-27.438,0,0.0322,0.818,0.942,0.101,0.0364,129.898,153996,4,61.40671,5,0
9362,Train,0.628,0.917,6,-3.489,1,0.144,0.0108,2.25e-06,0.306,0.638,94.988,239040,4,40.48597,11,1
10305,Future,0.718,0.679,11,-5.899,0,0.0706,0.00191,0.0104,0.385,0.205,157.97,173347,4,37.31227,9,1
1810,Mary Mary,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,198347,4,32.00116,11,1
11119,Carrie Underwood,0.614,0.884,0,-4.019,1,0.0402,0.00122,0.0,0.077,0.721,100.531,202853,4,33.44558,7,1
9201,Christina Aguilera & Beverly McClellan,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,29.82293,11,1
11683,Job For A Cowboy,0.428,0.966,2,-4.348,1,0.114,0.00081,0.485,0.437,0.135,135.026,390347,4,158.22827,11,0
9501,Spencer Day,0.757,0.265,1,-8.117,1,0.0481,0.553,0.0,0.11,0.503,119.151,153800,4,41.10114,9,0
9442,North Point Worship,0.622,0.788,1,-6.437,1,0.0292,0.0216,2.96e-05,0.088,0.408,114.934,198557,4,31.98152,9,0
1087,Huey,0.723,0.644,11,-6.863,0,0.222,0.00308,0.0,0.352,0.645,144.09,261027,4,48.67136,11,1
4719,Alan Jackson,0.748,0.673,11,-8.45,0,0.0486,0.191,5.86e-06,0.212,0.661,135.257,247600,4,37.13015,10,1
7376,Blake Shelton,0.557,0.571,10,-8.106,1,0.0281,0.476,0.00114,0.101,0.392,80.981,219600,4,24.32422,12,1
9653,A Great Big World & Christina Aguilera,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,3,38.15005,10,1
68,Keith Urban,0.653,0.786,2,-5.418,1,0.0338,0.0103,2.19e-06,0.201,0.477,120.992,226733,4,33.55326,9,1
4262,Laidback Luke,0.648,0.875,0,-4.64,0,0.0567,0.000747,0.787,0.577,0.391,128.004,393692,4,61.01177,12,0
12125,Brantley Gilbert + Lindsay Ell,0.496,0.775,11,-5.304,1,0.0411,0.000927,0.0,0.14,0.478,138.165,202587,4,29.71535,10,1
2841,Eluveitie,0.251,0.884,8,-9.425,1,0.0832,0.017,8.49e-06,0.965,0.362,179.895,396193,4,30.47446,13,0
926,Wolfsheim,0.694,0.834,5,-4.469,0,0.041,0.0188,0.0839,0.0807,0.845,120.021,263133,4,31.74872,9,0
2115,Pitbull,0.94,0.692,6,-5.48,0,0.253,0.0194,0.000455,0.0453,0.875,117.987,205600,4,34.416,14,1
11987,One Direction,0.707,0.222,7,-11.716,1,0.0329,0.788,0.0,0.205,0.556,110.095,219640,4,60.89089,9,1
1531,Phazm,0.474,0.962,1,-4.74,1,0.122,7.71e-05,0.059,0.133,0.198,159.891,222360,4,91.32058,8,0
4511,Ludacris Featuring Mystikal & Infamous 2.0,0.787,0.732,8,-5.466,1,0.129,0.183,0.0,0.1,0.15,177.653,271627,4,33.25158,13,1
8836,David Guetta Featuring Sia,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,4,47.72419,12,1
6320,Razorlight,0.314,0.565,2,-5.022,1,0.0317,0.295,6.85e-06,0.345,0.184,89.879,250600,4,120.94366,5,0
3630,T.I.,0.802,0.772,1,-4.893,0,0.192,0.358,0.0,0.0603,0.654,96.046,215000,4,38.21481,11,1
2953,Eagles,0.662,0.39,4,-10.416,1,0.0239,0.46,0.0,0.179,0.713,82.007,256973,4,44.18196,10,1
4806,P!nk,0.589,0.845,6,-4.497,1,0.0378,0.00883,0.0,0.326,0.746,138.026,231560,4,20.83684,9,1
3493,Thievery Corporation,0.808,0.837,9,-6.583,0,0.046,0.238,0.86,0.0624,0.653,92.002,286906,4,54.33882,13,0
9795,Isla Vista Worship,0.355,0.297,9,-12.559,1,0.0404,0.699,0.000196,0.0999,0.306,84.108,358992,4,48.2347,15,0
10039,The Electric Swing Circus,0.868,0.609,6,-6.081,0,0.0796,0.0312,0.0129,0.254,0.92,133.99,224588,4,43.58438,11,0
10453,One Direction,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4,33.77651,11,1
8467,JPEGMAFIA,0.553,0.509,1,-7.955,1,0.353,0.515,0.0,0.154,0.264,153.674,210570,4,30.06496,12,0
